BSSA14,Magnitude Scaling,,,,,,,,Distance Scaling,,,,,,Anelastic attenuation,,,Linear site term,,,Nonlinear site term,,,,Basin depth,,Aleatory Uncertainty,,,,,,,,,
period,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref (km),h (km),Dc3 (globalCATWNZ),Dc3 (ChinaTurkey),Dc3 (ItalyJapan),c,vc,vref,f1,f3,f4,f5,f6,f7,R1 (km),R2 (km),DfR,DfV,V1 (m/s),V2 (m/s),f1,f2,t1,t2
-1,5.037,5.078,4.849,5.033,1.073,-0.1536,0.2252,6.2,-1.243,0.1489,-0.00344,4.5,1,5.3,0,0.004345,-0.00033,-0.84,1300,760,0,0.1,-0.1,-0.00844,-9.9,-9.9,105,272,0.082,0.08,225,300,0.644,0.552,0.401,0.346
0,0.4473,0.4856,0.2459,0.4539,1.431,0.05053,-0.1662,5.5,-1.134,0.1917,-0.008088,4.5,1,4.5,0,0.0028576,-0.00255,-0.6,1500,760,0,0.1,-0.15,-0.00701,-9.9,-9.9,110,270,0.1,0.07,225,300,0.695,0.495,0.398,0.348
0.01,0.4534,0.4916,0.2519,0.4599,1.421,0.04932,-0.1659,5.5,-1.134,0.1916,-0.008088,4.5,1,4.5,0,0.0028159,-0.0024367,-0.60372,1500.2,760,0,0.1,-0.14833,-0.00701,-9.9,-9.9,111.67,270,0.096,0.07,225,300,0.698,0.499,0.402,0.345
0.02,0.48598,0.52359,0.29707,0.48875,1.4331,0.053388,-0.16561,5.5,-1.1394,0.18962,-0.008074,4.5,1,4.5,0,0.0027795,-0.00234,-0.57388,1500.36,760,0,0.1,-0.1471,-0.00728,-9.9,-9.9,113.1,270,0.092,0.03,225,300,0.702,0.502,0.409,0.346
0.022,0.49866,0.53647,0.31347,0.49973,1.4336,0.054888,-0.1652,5.5,-1.1405,0.18924,-0.008095,4.5,1,4.5,0,0.0027597,-0.0022886,-0.56675,1500.68,760,0,0.1,-0.14801,-0.00732,-9.9,-9.9,113.37,270,0.088,0.027,225,300,0.707,0.505,0.418,0.349
0.025,0.52283,0.5613,0.34426,0.51999,1.4328,0.057529,-0.16499,5.5,-1.1419,0.18875,-0.008153,4.5,1,4.5,0,0.0027542,-0.00225,-0.5552,1501.04,760,0,0.1,-0.15015,-0.00736,-9.9,-9.9,113.07,270,0.086,0.026,225,300,0.711,0.508,0.427,0.354
0.029,0.55949,0.59923,0.39146,0.54995,1.4279,0.060732,-0.16632,5.5,-1.1423,0.18844,-0.00829,4.5,1,4.5,0,0.0027616,-0.0022145,-0.5385,1501.26,760,0,0.1,-0.15387,-0.00737,-9.9,-9.9,112.36,270,0.084,0.028,225,300,0.716,0.51,0.436,0.359
0.03,0.56916,0.6092,0.40391,0.55783,1.4261,0.061444,-0.1669,5.5,-1.1421,0.18842,-0.008336,4.5,1,4.49,0,0.0027646,-0.0021676,-0.53414,1502.95,760,0,0.1,-0.15485,-0.00735,-9.9,-9.9,112.13,270,0.081,0.029,225,300,0.721,0.514,0.445,0.364
0.032,0.58802,0.62875,0.42788,0.5733,1.4227,0.062806,-0.16813,5.5,-1.1412,0.1884,-0.008445,4.5,1,4.45,0,0.0027691,-0.0021167,-0.52529,1503.12,760,0,0.1,-0.15685,-0.00731,-9.9,-9.9,111.65,270,0.078,0.03,225,300,0.726,0.516,0.454,0.369
0.035,0.61636,0.65818,0.46252,0.59704,1.4174,0.064559,-0.17015,5.5,-1.1388,0.18839,-0.008642,4.5,1,4.4,0,0.0027837,-0.0020957,-0.51192,1503.24,760,0,0.1,-0.16016,-0.00721,-9.9,-9.9,110.64,270,0.077,0.031,225,300,0.73,0.518,0.462,0.374
